Problem  bcsstk01


G =

   (1,1)        2.832268518520000e+06
   (5,1)        1.000000000000000e+06
   (6,1)        2.083333333330000e+06
   (7,1)       -3.333333333330000e+03
  (11,1)        1.000000000000000e+06
  (19,1)       -2.800000000000000e+06
  (25,1)       -2.893518518520000e+04
  (30,1)        2.083333333330000e+06
   (2,2)        1.635447530860000e+06
   (4,2)       -2.000000000000000e+06
   (6,2)        5.555555555550000e+06
   (8,2)       -6.666666666670000e+03
  (10,2)       -2.000000000000000e+06
  (20,2)       -3.086419753090000e+04
  (24,2)        5.555555555550000e+06
  (26,2)       -1.597916666670000e+06
   (3,3)        1.724367283950000e+06
   (4,3)       -2.083333333330000e+06
   (5,3)       -2.777777777780000e+06
   (9,3)       -1.680000000000000e+06
  (21,3)       -1.543209876540000e+04
  (23,3)       -2.777777777780000e+06
  (27,3)       -2.893518518520000e+04
  (28,3)       -2.083333333330000e+06
   (2,4)       -2.000000000000000e+06
   (3,4)       -2.083333333330000e+06
   (4,4)        1.003333333330000e+09
   (8,4)        2.000000000000000e+06
  (10,4)        4.000000000000000e+08
  (22,4)       -3.333333333330000e+06
  (27,4)        2.083333333330000e+06
  (28,4)        1.000000000000000e+08
   (1,5)        1.000000000000000e+06
   (3,5)       -2.777777777780000e+06
   (5,5)        1.067500000000000e+09
   (7,5)       -1.000000000000000e+06
  (11,5)        2.000000000000000e+08
  (21,5)        2.777777777780000e+06
  (23,5)        3.333333333330000e+08
  (29,5)       -8.333333333330000e+05
   (1,6)        2.083333333330000e+06
   (2,6)        5.555555555550000e+06
   (6,6)        1.535333333330000e+09
  (12,6)       -2.000000000000000e+06
  (20,6)       -5.555555555550000e+06
  (24,6)        6.666666666670001e+08
  (25,6)       -2.083333333330000e+06
  (30,6)        1.000000000000000e+08
   (1,7)       -3.333333333330000e+03
   (5,7)       -1.000000000000000e+06
   (7,7)        2.832268518520000e+06
  (11,7)       -1.000000000000000e+06
  (12,7)        2.083333333330000e+06
  (13,7)       -2.800000000000000e+06
  (31,7)       -2.893518518520000e+04
  (36,7)        2.083333333330000e+06
   (2,8)       -6.666666666670000e+03
   (4,8)        2.000000000000000e+06
   (8,8)        1.635447530860000e+06
  (10,8)        2.000000000000000e+06
  (12,8)        5.555555555550000e+06
  (14,8)       -3.086419753090000e+04
  (18,8)        5.555555555550000e+06
  (32,8)       -1.597916666670000e+06
   (3,9)       -1.680000000000000e+06
   (9,9)        1.724367283950000e+06
  (10,9)       -2.083333333330000e+06
  (11,9)       -2.777777777780000e+06
  (15,9)       -1.543209876540000e+04
  (17,9)       -2.777777777780000e+06
  (33,9)       -2.893518518520000e+04
  (34,9)       -2.083333333330000e+06
   (2,10)      -2.000000000000000e+06
   (4,10)       4.000000000000000e+08
   (8,10)       2.000000000000000e+06
   (9,10)      -2.083333333330000e+06
  (10,10)       1.003333333330000e+09
  (16,10)      -3.333333333330000e+06
  (33,10)       2.083333333330000e+06
  (34,10)       1.000000000000000e+08
   (1,11)       1.000000000000000e+06
   (5,11)       2.000000000000000e+08
   (7,11)      -1.000000000000000e+06
   (9,11)      -2.777777777780000e+06
  (11,11)       1.067500000000000e+09
  (15,11)       2.777777777780000e+06
