Problem  ex5


G =

   (1,1)        1.037038992592650e+06
   (2,1)        2.592590592592650e+05
  (10,1)       -1.185186251851870e+06
  (11,1)       -2.962966518518550e+05
  (19,1)        1.481481481481230e+05
  (20,1)        3.703714814814760e+04
   (1,2)        2.592590592592650e+05
   (2,2)        2.962975407407450e+05
   (3,2)        2.592590592593260e+05
   (4,2)       -1.851855185183110e+04
  (10,2)       -2.962966518518500e+05
  (11,2)       -1.481485481481480e+05
  (12,2)       -2.962966518518440e+05
  (13,2)       -7.407396296295710e+04
  (19,2)        3.703714814813990e+04
  (20,2)       -1.481482148148230e+05
  (21,2)        3.703714814807820e+04
  (22,2)        9.259257037034399e+04
   (2,3)        2.592590592593260e+05
   (3,3)        1.037038992592820e+06
   (4,3)        2.592590592593160e+05
  (11,3)       -2.962966518518660e+05
  (12,3)       -1.185186251851830e+06
  (13,3)       -2.962966518518330e+05
  (20,3)        3.703714814811390e+04
  (21,3)        1.481481481479570e+05
  (22,3)        3.703714814809240e+04
   (2,4)       -1.851855185183110e+04
   (3,4)        2.592590592593160e+05
   (4,4)        2.962975407407750e+05
   (5,4)        2.592590592592410e+05
   (6,4)       -1.851855185187740e+04
  (11,4)       -7.407396296296691e+04
  (12,4)       -2.962966518518530e+05
  (13,4)       -1.481485481481530e+05
  (14,4)       -2.962966518518480e+05
  (15,4)       -7.407396296295850e+04
  (20,4)        9.259257037035791e+04
  (21,4)        3.703714814810990e+04
  (22,4)       -1.481482148148430e+05
  (23,4)        3.703714814814930e+04
  (24,4)        9.259257037039190e+04
   (4,5)        2.592590592592410e+05
   (5,5)        1.037038992592740e+06
   (6,5)        2.592590592591990e+05
  (13,5)       -2.962966518518830e+05
  (14,5)       -1.185186251851870e+06
  (15,5)       -2.962966518518480e+05
  (22,5)        3.703714814819210e+04
  (23,5)        1.481481481483530e+05
  (24,5)        3.703714814818490e+04
   (4,6)       -1.851855185187740e+04
   (5,6)        2.592590592591990e+05
   (6,6)        2.962975407407670e+05
   (7,6)        2.592590592592410e+05
   (8,6)       -1.851855185188810e+04
  (13,6)       -7.407396296297760e+04
  (14,6)       -2.962966518518980e+05
  (15,6)       -1.481485481481730e+05
  (16,6)       -2.962966518518890e+05
  (17,6)       -7.407396296296870e+04
  (22,6)        9.259257037040590e+04
  (23,6)        3.703714814824120e+04
  (24,6)       -1.481482148148160e+05
  (25,6)        3.703714814819210e+04
  (26,6)        9.259257037040959e+04
   (6,7)        2.592590592592410e+05
   (7,7)        1.037038992592800e+06
   (8,7)        2.592590592593690e+05
  (15,7)       -2.962966518518660e+05
  (16,7)       -1.185186251851860e+06
  (17,7)       -2.962966518518440e+05
  (24,7)        3.703714814802140e+04
  (25,7)        1.481481481479940e+05
  (26,7)        3.703714814816350e+04
   (6,8)       -1.851855185188810e+04
   (7,8)        2.592590592593690e+05
   (8,8)        2.962975407410300e+05
   (9,8)        2.592590592595530e+05
  (15,8)       -7.407396296295901e+04
  (16,8)       -2.962966518518370e+05
  (17,8)       -1.481485481481920e+05
  (18,8)       -2.962966518519430e+05
  (24,8)        9.259257037035280e+04
  (25,8)        3.703714814810900e+04
  (26,8)       -1.481482148150470e+05
