Problem  mesh1em6


G =

   (1,1)        2.830452520000000e+00
   (2,1)       -5.233674400000000e-01
   (8,1)        3.123247700000000e-01
  (45,1)        1.798015600000000e-01
  (48,1)        8.149587500000000e-01
   (1,2)       -5.233674400000000e-01
   (2,2)        3.962706460000000e+00
   (3,2)       -1.566235900000000e-01
  (42,2)        3.219584200000000e-01
  (43,2)        5.516151300000000e-01
  (46,2)        4.376434100000000e-01
  (48,2)        9.714984700000000e-01
   (2,3)       -1.566235900000000e-01
   (3,3)        1.619656520000000e+00
   (4,3)        2.130996800000000e-01
  (46,3)        2.499332500000000e-01
   (3,4)        2.130996800000000e-01
   (4,4)        1.825088396000000e+00
   (5,4)        3.800957400000000e-01
  (37,4)       -1.040418600000000e-01
  (44,4)        4.540516000000000e-03
  (46,4)        1.233106000000000e-01
   (4,5)        3.800957400000000e-01
   (5,5)        2.229508500000000e+00
   (6,5)       -2.910939000000000e-01
  (44,5)        5.583188600000000e-01
   (5,6)       -2.910939000000000e-01
   (6,6)        3.238936860000000e+00
   (7,6)       -1.591878100000000e-01
  (41,6)        7.445915700000000e-01
  (44,6)        5.006505100000001e-01
  (47,6)        5.434130700000001e-01
   (6,7)       -1.591878100000000e-01
   (7,7)        1.628800820000000e+00
   (8,7)        2.181960200000000e-01
  (47,7)        2.514169900000000e-01
   (1,8)        3.123247700000000e-01
   (7,8)        2.181960200000000e-01
   (8,8)        1.689866935000000e+00
  (35,8)       -7.719234699999999e-02
  (45,8)        4.123029700000000e-02
  (47,8)        4.092350100000000e-02
   (9,9)        2.963797015100000e+00
  (10,9)        2.923696300000000e-01
  (15,9)       -2.340837300000000e-01
  (18,9)        5.277838500000001e-01
  (23,9)        1.760893100000000e-03
  (30,9)       -7.637940200000000e-02
  (31,9)        8.314195100000000e-01
   (9,10)       2.923696300000000e-01
  (10,10)       1.950559370000000e+00
  (11,10)       3.992081500000000e-01
  (21,10)       1.501470600000000e-01
  (23,10)      -1.088345300000000e-01
  (10,11)       3.992081500000000e-01
  (11,11)       4.361045442000000e+00
  (12,11)      -4.733031600000000e-01
  (21,11)       6.206578600000000e-02
  (24,11)      -7.861804600000000e-02
  (25,11)       1.276405500000000e+00
  (27,11)       1.071444800000000e+00
  (11,12)      -4.733031600000000e-01
  (12,12)       4.250446380000001e+00
  (13,12)       4.214001600000000e-01
  (27,12)       7.316205500000000e-01
  (34,12)      -3.511993000000000e-02
  (36,12)       2.029079800000000e-01
  (38,12)       1.386094600000000e+00
  (12,13)       4.214001600000000e-01
  (13,13)       2.033614520000000e+00
  (14,13)       2.484114800000000e-01
  (19,13)       2.373848500000000e-01
  (34,13)      -1.264180300000000e-01
  (13,14)       2.484114800000000e-01
  (14,14)       2.184057820000000e+00
  (15,14)      -6.674076399999999e-02
  (16,14)       2.438547400000000e-01
  (17,14)       5.363982900000001e-01
  (19,14)      -8.865254600000000e-02
   (9,15)      -2.340837300000000e-01
  (14,15)      -6.674076399999999e-02
  (15,15)       2.756154634000000e+00
  (16,15)       8.761781800000000e-01
  (18,15)       5.791519600000000e-01
  (14,16)       2.438547400000000e-01
  (15,16)       8.761781800000000e-01
  (16,16)       2.930989600000000e+00
