Problem     bcsstk02


G =

   (1,1)        1.990333286120000e+03
   (2,1)        5.679121799180000e+02
   (3,1)        7.757836144070000e+02
   (4,1)       -1.386796602880000e+03
   (5,1)       -2.678552315280000e-01
   (6,1)       -4.669042534600000e-01
   (7,1)       -1.130477430710000e+00
   (8,1)        3.920577899290000e-01
   (9,1)        2.621992885350000e-02
  (10,1)       -4.902884354930000e+02
  (11,1)       -4.902050618850000e+02
  (12,1)        2.510025214320000e-02
  (13,1)       -5.943811290680000e+01
  (14,1)       -3.860594288730000e+01
  (15,1)       -3.854807538300000e+02
  (16,1)        4.660860255420000e-02
  (17,1)       -7.465004848510000e-02
  (18,1)       -6.498462037860000e-01
  (19,1)        1.546051920360000e-01
  (20,1)        4.474553766600000e-02
  (21,1)        1.430355400490000e-02
  (22,1)       -2.159700919300000e-02
  (23,1)       -1.365640535770000e-01
  (24,1)       -2.257658321740000e-01
  (25,1)        5.061860641820000e+00
  (26,1)       -1.150200802010000e-01
  (27,1)       -6.069369402590000e-01
  (28,1)        4.217404679440000e-01
  (29,1)       -7.876290696310000e-02
  (30,1)       -6.402842195590000e-01
  (31,1)        5.833626720800000e-01
  (32,1)       -1.467981229140000e-01
  (33,1)       -8.717466640170000e-02
  (34,1)       -3.044655426560000e-02
  (35,1)        2.051949165630000e-03
  (36,1)        2.431210716000000e-02
  (37,1)       -1.204728330150000e+00
  (38,1)        5.070826716070000e-02
  (39,1)        1.799636207970000e-01
  (40,1)       -2.124989565920000e-01
  (41,1)       -3.466428705400000e-03
  (42,1)       -5.266546107750000e-02
  (43,1)       -7.545332656160000e-02
  (44,1)       -2.482326300140000e-02
  (45,1)        1.085154758120000e-02
  (46,1)       -1.251189317560000e-02
  (47,1)        7.299709991900000e-02
  (48,1)        2.425251555730000e-02
  (49,1)        1.629545384400000e-02
  (50,1)        1.610203560630000e-02
  (51,1)       -2.041151835590000e-02
  (52,1)        1.243507287240000e-01
  (53,1)        1.704601121150000e-05
  (54,1)       -3.896945747130000e-02
  (55,1)        5.388136221370000e-02
  (56,1)       -4.689576218100000e-03
  (57,1)       -1.168520637630000e-02
  (58,1)        2.922822588300000e-02
  (59,1)       -2.018493104510000e-02
  (60,1)       -9.313508587700000e-03
  (61,1)        1.082718918980000e-02
  (62,1)       -1.348931789730000e-02
  (63,1)       -1.880993318820000e-03
  (64,1)        4.889756446460000e-03
  (65,1)        1.221154046460000e-02
  (66,1)        1.165945211970000e-02
   (1,2)        5.679121799180000e+02
   (2,2)        1.990333286120000e+03
   (3,2)        7.757836144070000e+02
   (4,2)        3.920577899290000e-01
   (5,2)       -1.130477430710000e+00
   (6,2)        2.621992885350000e-02
   (7,2)       -2.678552315280000e-01
   (8,2)       -1.386796602880000e+03
   (9,2)       -4.669042534600000e-01
  (10,2)       -4.902050618850000e+02
  (11,2)       -4.902884354930000e+02
  (12,2)        2.510025214320000e-02
  (13,2)       -3.860594288730000e+01
  (14,2)       -5.943811290680000e+01
  (15,2)       -3.854807538300000e+02
  (16,2)        4.474553766600000e-02
  (17,2)        1.546051920360000e-01
  (18,2)        1.430355400490000e-02
  (19,2)       -7.465004848510000e-02
  (20,2)        4.660860255420000e-02
